molecule,SMILES,PCE
X-TO1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(-c7cc(OC)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)s7)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,15.32 
X-TO2,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(-c7sc(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)cc7OC)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,2.78 
DTFBT-1,CCCCCCCCOc1ccc2c(c1)C1(c3cc(OCCCCCCCC)ccc3-2)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C1(c2cc(OCCCCCCCC)ccc2-c2ccc(OCCCCCCCC)cc21)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,3.19 
DTFBT-2,CCCCCCCCOc1ccc2c(c1)C1(c3cc(OCCCCCCCC)ccc3-2)c2cc3c(cc2-c2sc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)cc21)C1(c2cc(OCCCCCCCC)ccc2-c2ccc(OCCCCCCCC)cc21)c1cc(-c2ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc24)sc1-3,4.23 
PTT-IC,CCCCCCOc1cc2c3c(c(OCCCCCC)cc4c3c1-c1sc3cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc3c1C4(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)-c1sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3c1C2(c1ccc(CCCCCC)cc1)c1cccc(CCCCCC)c1.O,7.10 
PTT-2FIC,CCCCCCOc1cc2c3c(c(OCCCCCC)cc4c3c1-c1sc3cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc3c1C4(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)-c1sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3c1C2(c1ccc(CCCCCC)cc1)c1cccc(CCCCCC)c1,9.98 
TfIF-IC-C8,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc2c(cc1-3)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc1-2,8.57 
TfIF-IC-C2C6,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CC(CC)CCCC)CC(CC)CCCC)C(CCCCCCCC)(CCCCCCCC)c1cc2c(cc1-3)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc1-2,6.75 
TfIF-IC-C4C8,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc2c(cc1-3)C(CC(CCCC)CCCCCC)(CC(CCCC)CCCCCC)c1cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc1-2,6.81 
1CIC,CCCCCCC1(CCCCCC)c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc21,0.24 
2CIC,CCCCCCC1(CCCCCC)c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2sc(-c3cc4c(s3)C3SC(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)=CC3C4(CCCCCC)CCCCCC)cc21,3.21 
Py-2H,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2cc(C(C)C)c3ccc4c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)s5)cc(C(C)C)c5ccc2c3c45)sc1/C=C1\C(=O)c2ccccc2C1=C(C#N)C#N,5.13 
Py-2F,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2cc(C(C)C)c3ccc4c(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s5)cc(C(C)C)c5ccc2c3c45)sc1/C=C1\C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,9.73 
IDBDT-O,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5c(OCC(CC)CCCC)c6cc(/C=C7\C(=O)c8ccccc8C7=C(C#N)C#N)sc6c(OCC(CC)CCCC)c5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c(OCC(CC)CCCC)c4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc4c(OCC(CC)CCCC)c23)cc1,1.82 
TIT-2FIC,CCCCCCc1ccc(CC2(Cc3cccc(CCCCCC)c3)c3cc4c5sc6c(c5n(CCCCCC)c4cc3-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc32)C(Cc2ccc(CCCCCC)cc2)(Cc2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-6)cc1,11.77 
i-Y6,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c2c2c3nsnc3c3c4c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c(CCCCCCCCCCC)c5sc4n(CC(CCCC)CCCCCC)c3c2n1CC(CCCC)CCCCCC,3.21 
X94FIC,CCCCC(CC)COc1c2cc(/C=C3/C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2c(OCC(CC)CCCC)c2c1sc1c3c4nsnc4c4c5sc6c(OCC(CC)CCCC)c7cc(/C=C8/C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c(OCC(CC)CCCC)c6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c12,7.08 
X9IC,CCCCC(CC)COCc1c(/C(OCC(CC)CCCC)=C2/C=C(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)SC2)sc2c3c4nsnc4c4c5sc6c(OCC(CC)CCCC)c7cc(/C=C8/C(=O)c9ccccc9C8=C(C#N)C#N)sc7c(OCC(CC)CCCC)c6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c12,6.29 
X9Rd,CCCCC(CC)COc1c2cc(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)sc2c(OCC(CC)CCCC)c2c1sc1c3c4nsnc4c4c5sc6c(OCC(CC)CCCC)c7cc(/C=c8/sc(=C(C#N)C#N)n(CC)c8=O)sc7c(OCC(CC)CCCC)c6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c12,2.48 
Y6-phC6,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CCCCCCc5ccccc5)c4c3n(CCCCCCc3ccccc3)c21,11.66 
Y6-phOC6,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CCCCCCOc5ccccc5)c4c3n(CCCCCCOc3ccccc3)c21,10.92 
Y6-nC8,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CCCCCCCC)c4c3n(CCCCCCCC)c21,10.31 
IDT-Py-IC,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)n5CC)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)n3CC)sc2-4)cc1,1.62 
IDT-Fu-IC,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)o5)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)o3)sc2-4)cc1,5.26 
IDT-Th-IC,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)sc2-4)cc1,8.55 
IDT-Ph-IC,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5)cc32)C(c2ccc(OCCCCCC)cc2)(c2ccc(OCCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc3)sc2-4)cc1,4.25 
IDTT-BOA,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C(\C#N)c6nc7ccccc7o6)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)C2c3sc(/C=C(\C#N)c5nc6ccccc6o5)cc3SC42)cc1,1.95 
IDTT-BOACl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C(\C#N)c6nc7cc(Cl)ccc7o6)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)C2c3sc(/C=C(\C#N)c5nc6cc(Cl)ccc6o5)cc3SC42)cc1,3.24 
ICCI-IDTT-BOACl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)C2c3sc(/C=C(\C#N)c5nc6cc(Cl)ccc6o5)cc3SC42)cc1,7.63 
BTO,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CCOCCOCCOC)c4c3n(CCOCCOCCOC)c21,10.97 
BDT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,10.50 
BT3-4Cl,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CCC(CC)CCCC)c4c3n(CCC(CC)CCCC)c21,17.07 
Y5,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8ccccc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,13.90 
BDTIT-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,11.31 
BDTThIT-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(CC(CC)CCCC)s5)c5c6c(sc5c(-c5ccc(CC(CC)CCCC)s5)c4c32)-c2sc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,12.12 
FBR,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)cc21,7.80 
ID-MeIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3c(C)c4c(c(C)c32)-c2sc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,6.28 
INIC3,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,11.30 
NFBDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2cccc(CCCCCC)c2)cc1,10.42 
ITOIC,CCCCCCOc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)c(OCCCCCC)c3OCCCCCC)cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)c1OCCCCCC,8.87 
ITOIC-F,CCCCCCOc1c(/C=C2\C(=O)c3cc(F)ccc3C2=C(C#N)C#N)sc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(-c3sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)c(OCCCCCC)c3OCCCCCC)cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)c1OCCCCCC,10.49 
ITOIC-2F,CCCCCCOc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c(OCCCCCC)c3OCCCCCC)cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)c1OCCCCCC,11.88 
BT-CIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,11.20 
IDTIC,CCCCCCCCCCCCCCCCC1(CCCCCCCCCCCCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,5.34 
IDTTIC,CCCCCCCCCCCCCCCCC1(CCCCCCCCCCCCCCCC)c2cc3c(cc2-c2sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc4c21)C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)c1c-3sc2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc12,10.70 
IDFBR,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)cc1C3(CCCCCCCC)CCCCCCCC,4.50 
IEICO-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,12.10 
ZITI,CCCCCCC(CCCC)CC1(CC(CCCC)CCCCCC)C2=C(c3cc4c(cc31)-c1sc(/C=C3\C(=O)c5ccc(F)cc5C3=C(C#N)C#N)cc1C4)C(CC(CCCC)CCCCCC)(CC(CCCC)CCCCCC)c1cc3c(cc12)Cc1cc(/C=C2\C(=O)c4ccc(F)cc4C2=C(C#N)C#N)sc1-3,13.04 
IDT-HN,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc7c(cc6C5=C(C#N)C#N)CCCC7)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5cc6c(cc5C3=C(C#N)C#N)CCCC6)sc2-4)cc1,10.22 
IM-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC(CC)CCCC)C(=O)C6=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC(CC)CCCC)C(=O)C5=C(C#N)C#N)sc2-4)cc1,1.60 
TIM-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5cc6c(s5)C(=C(C#N)C#N)C(=O)N6CC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc5c(s3)C(=C(C#N)C#N)C(=O)N5CC(CC)CCCC)sc2-4)cc1,1.96 
IDSe-T-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3[se]c(-c5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5CC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc3CC(CC)CCCC)[se]c2-4)cc1,8.21 
BT-BIC,CCCCC(CC)Cc1c(/C=C2\C(=O)c3c(ccc4ccccc34)C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CC)CCCC)c(/C=C7\C(=O)c8c(ccc9ccccc89)C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,6.80 
BT-LIC,CCCCC(CC)Cc1c(/C=C2\C(=O)c3cc4ccccc4cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CC)CCCC)c(/C=C7\C(=O)c8cc9ccccc9cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,13.00 
BT-L4F,CCCCC(CC)Cc1c(/C=C2\C(=O)c3cc4cc(F)c(F)cc4cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CC)CCCC)c(/C=C7\C(=O)c8cc9cc(F)c(F)cc9cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,9.00 
BT-BO-4F,CCCCCCC(CCCC)Cn1c2c3sc(/C=C4\C(=O)c5cc6cc(F)c(F)cc6cc5C4=C(C#N)C#N)c(CC(CC)CCCC)c3sc2c2c3nsnc3c3c4sc5c(CC(CC)CCCC)c(/C=C6\C(=O)c7cc8cc(F)c(F)cc8cc7C6=C(C#N)C#N)sc5c4n(CC(CCCC)CCCCCC)c3c21,0.00 
m-ITIC,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,11.49 
FNIC1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(sc5c(-c6ccc(CCCCCC)s6)c6c(sc7c8c(sc76)-c6sc(/C=C7\C(=O)c9cc(F)c(F)cc9C7=C(C#N)C#N)cc6C8(c6ccc(CCCCCC)cc6)c6ccc(CCCCCC)cc6)c(-c6ccc(CCCCCC)s6)c54)c32)cc1,10.30 
FNIC2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c(-c5ccc(CCCCCC)s5)c5c6c(sc5c(-c5ccc(CCCCCC)s5)c4c32)-c2sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3c2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,13.00 
HC-PCIC,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)cc4C5(CC(CC)CCCC)CC(CC)CCCC)cc3F)cc21,11.60 
BT-4BO,CCCCCCC(CCCC)Cc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,16.54 
2TTIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc4c32)cc1,8.06 
IC-2IDT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c4c(sc23)-c2cc3c(cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,4.26 
IC-3IDT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c4c(sc23)-c2cc3c(cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc4c5c(sc4c2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2cc3c(cc2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1.01 
CBT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(CCCCCC)c5c6c(sc5c(CCCCCC)c4c32)-c2sc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,10.78 
SBT-IC,CCCCCCSc1c2sc3c(c2c(SCCCCCC)c2sc4c(c12)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)sc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2/C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,10.89 
QM1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9ccc(-c%10ccc%11c(c%10)C(=O)C(=C\c%10sc%12c(sc%13c%14c%15nsnc%15c%15c%16sc%17c(CCCCCCCCCCC)c(/C=C%18\C(=O)c%19cc(F)c(F)cc%19C%18=C(C#N)C#N)sc%17c%16n(CC(CCCCCCCC)CCCCCCCCCC)c%15c%14n(CC(CCCCCCCC)CCCCCCCCCC)c%12%13)c%10CCCCCCCCCCC)/C%11=C(/O)C#N)s9)ccc8\C7=C(/O)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,17.05 
